,location,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,is_asia,is_europe,is_africa,is_north_america,is_south_america,is_oceania
64,Georgia,316565.5846666667,5807.7015,3798.5835,9.715833333333334,10.867666666666667,0.4682333333333333,2.15,38.125,30.791666666666668,50.0,65.032,38.699999999999996,14.864000000000003,10.244000000000002,9745.079,4.2,496.218,7.11,5.3,55.5,2.6,73.77,0.8120000000000002,1.0,0.0,0.0,0.0,0.0,0.0
65,Germany,125488.29616666667,2397.7956666666664,1411.1461666666664,1.8495000000000001,4.426333333333334,0.444,2.3000000000000003,76.21166666666666,75.01833333333333,48.15,237.016,46.6,21.453000000000003,15.956999999999999,45229.245,1.648365484475611,156.139,8.31,28.2,33.1,8.0,81.33,0.9470000000000001,0.0,1.0,0.0,0.0,0.0,0.0
66,Ghana,4954.8206666666665,3.2616666666666667,44.23466666666667,0.08933333333333333,0.12166666666666666,0.031016666666666665,33.76666666666666,8.830491032131114,15.11424640296322,43.52,126.71900000000001,21.099999999999998,3.3849999999999993,1.9480000000000002,4227.63,12.0,298.24499999999995,4.97,0.3,7.7,0.9,64.07,0.6109999999999999,0.0,0.0,1.0,0.0,0.0,0.0
67,Greece,193782.77833333332,1721.6053333333332,2301.0558333333333,9.546166666666666,26.864499999999996,0.06758333333333333,14.799999999999999,75.03666666666665,71.055,77.77999999999999,83.479,45.300000000000004,20.396,14.524000000000001,24574.382,1.5,175.69499999999996,4.55,35.300000000000004,52.0,4.21,82.24,0.888,0.0,1.0,0.0,0.0,0.0,0.0
69,Guatemala,38555.60283333333,189.82783333333336,901.6866666666666,1.0594999999999999,0.6184999999999999,0.26638333333333336,3.783333333333333,38.208333333333336,29.281666666666666,51.696666666666665,157.83400000000003,22.900000000000002,4.694,3.016,7423.808000000002,8.700000000000001,155.898,10.18,3.1191285616554234,26.34149836830152,0.6,74.3,0.6629999999999999,0.0,0.0,0.0,1.0,0.0,0.0
70,Guinea,2683.7221666666665,1.1853333333333333,31.524833333333333,0.11116666666666668,0.04881647011648826,0.17486985496568722,11.040655178592724,25.5,13.89,60.19,51.755,19.0,3.135,1.7330000000000003,1998.9260000000002,35.300000000000004,336.71700000000004,2.42,2.1957319855137314,17.65602815632107,0.3,61.6,0.47700000000000004,0.0,0.0,1.0,0.0,0.0,0.0
72,Guyana,77031.633,360.82033333333334,1489.464,2.7413333333333334,1.3765548693427307,0.369034924340906,2.865434550453728,53.74,39.85,77.77999999999999,3.9519999999999995,26.3,5.305,2.8369999999999997,7435.047,3.83188025984688,373.15900000000005,11.62,4.319690199887639,46.03137198909714,1.5999999999999999,69.90999999999998,0.682,0.0,0.0,0.0,0.0,1.0,0.0
73,Haiti,2554.075666666667,7.191166666666667,72.78,1.2996666666666665,0.04099999999999999,0.21613333333333332,4.833333333333333,1.2699999999999998,0.85,41.66666666666667,398.44800000000004,24.3,4.8,2.954,1653.1729999999995,23.5,430.54799999999994,6.6499999999999995,2.9,23.099999999999998,0.7000000000000001,64.0,0.5099999999999999,0.0,0.0,0.0,1.0,0.0,0.0
74,Honduras,38942.087999999996,0.0,1044.62,0.0,0.6260309317121716,0.3184438921821274,3.823164962868042,51.15,36.43837558110996,34.26,82.805,24.900000000000002,4.652,2.8829999999999996,4541.794999999999,16.0,240.208,7.21,2.0,26.479906605448136,0.7000000000000001,75.27,0.634,0.0,0.0,0.0,1.0,0.0,0.0
76,Hungary,166011.54999999996,1097.5008333333333,4322.776833333332,5.812666666666668,3.9981666666666666,0.40715000000000007,2.466666666666667,66.115,63.451666666666654,51.85,108.04299999999999,43.4,18.577,11.975999999999999,26777.560999999998,0.5,278.296,7.55,26.8,34.800000000000004,7.019999999999999,76.88,0.8540000000000001,0.0,1.0,0.0,0.0,0.0,0.0
77,Iceland,195514.00249999997,2646.9301666666665,129.70266666666666,1.355833333333333,12.1865,0.08558107487060819,14.075409632284803,83.57,73.87371687596976,35.19,3.404,37.300000000000004,14.431,9.207,46482.95799999999,0.19999999999999998,117.992,5.31,14.299999999999999,15.200000000000001,2.91,82.99,0.949,0.0,1.0,0.0,0.0,0.0,0.0
