,location,new_cases_per_million,new_deaths_per_million
1217,Tunisia,107.073,1.173
1224,Turkey,1134.888,2.775
1231,Uganda,2.165,0.191
1238,Ukraine,569.423,2.853
1245,United Arab Emirates,170.55200000000002,0.1
1252,United Kingdom,932.85,0.66
1259,United States,1040.638,9.21
1273,Uruguay,1999.339,5.452000000000001
1280,Uzbekistan,24.517,0.059000000000000004
1287,Vanuatu,0.0,0.0
1294,Venezuela,0.0,0.0
1301,Vietnam,171.287,1.0190000000000001
1308,Yemen,3.28,0.0
1315,Zambia,5.867000000000001,0.159
1322,Zimbabwe,0.0,0.0
